PERMNO,date,TICKER,COMNAM,PRC,VOL,RET,SHROUT
61241,2024-05-29,AMD,ADVANCED MICRO DEVICES INC,165.14000,56181944,-0.037702,1616314
61241,2024-05-30,AMD,ADVANCED MICRO DEVICES INC,166.75000,46282838,0.009749,1616314
61241,2024-05-31,AMD,ADVANCED MICRO DEVICES INC,166.89999,63996331,0.000900,1616314
61241,2024-06-03,AMD,ADVANCED MICRO DEVICES INC,163.55000,58839294,-0.020072,1616314
61241,2024-06-04,AMD,ADVANCED MICRO DEVICES INC,159.99001,48017345,-0.021767,1616314
61241,2024-06-05,AMD,ADVANCED MICRO DEVICES INC,166.17000,60239629,0.038627,1616314
61241,2024-06-06,AMD,ADVANCED MICRO DEVICES INC,166.78000,46879611,0.003671,1616314
61241,2024-06-07,AMD,ADVANCED MICRO DEVICES INC,167.87000,44697080,0.006536,1616314
61241,2024-06-10,AMD,ADVANCED MICRO DEVICES INC,160.34000,66933435,-0.044856,1616314
61241,2024-06-11,AMD,ADVANCED MICRO DEVICES INC,158.96001,40136851,-0.008607,1616314
61241,2024-06-12,AMD,ADVANCED MICRO DEVICES INC,160.24001,48062767,0.008052,1616314
61241,2024-06-13,AMD,ADVANCED MICRO DEVICES INC,159.89999,44234843,-0.002122,1616314
61241,2024-06-14,AMD,ADVANCED MICRO DEVICES INC,159.63000,33913696,-0.001688,1616314
61241,2024-06-17,AMD,ADVANCED MICRO DEVICES INC,158.39999,44217062,-0.007705,1616314
61241,2024-06-18,AMD,ADVANCED MICRO DEVICES INC,154.63000,51562462,-0.023800,1616314
61241,2024-06-20,AMD,ADVANCED MICRO DEVICES INC,161.78000,92390323,0.046239,1616314
61241,2024-06-21,AMD,ADVANCED MICRO DEVICES INC,161.23000,60943490,-0.003400,1616314
61241,2024-06-24,AMD,ADVANCED MICRO DEVICES INC,160.25000,45762368,-0.006078,1616314
61241,2024-06-25,AMD,ADVANCED MICRO DEVICES INC,160.25000,40798283,0.000000,1616314
61241,2024-06-26,AMD,ADVANCED MICRO DEVICES INC,157.53999,36789745,-0.016911,1616314
61241,2024-06-27,AMD,ADVANCED MICRO DEVICES INC,159.47000,33775094,0.012251,1616314
61241,2024-06-28,AMD,ADVANCED MICRO DEVICES INC,162.21001,55768478,0.017182,1618000
61241,2024-07-01,AMD,ADVANCED MICRO DEVICES INC,157.69000,50001787,-0.027865,1618000
61241,2024-07-02,AMD,ADVANCED MICRO DEVICES INC,164.31000,57506326,0.041981,1618000
61241,2024-07-03,AMD,ADVANCED MICRO DEVICES INC,163.89999,27188288,-0.002495,1618000
61241,2024-07-05,AMD,ADVANCED MICRO DEVICES INC,171.89999,61452426,0.048810,1618000
61241,2024-07-08,AMD,ADVANCED MICRO DEVICES INC,178.69000,59897820,0.039500,1618000
61241,2024-07-09,AMD,ADVANCED MICRO DEVICES INC,177.10001,43211305,-0.008898,1618000
61241,2024-07-10,AMD,ADVANCED MICRO DEVICES INC,183.96001,89886318,0.038735,1618000
61241,2024-07-11,AMD,ADVANCED MICRO DEVICES INC,181.94000,59011989,-0.010981,1618000
61241,2024-07-12,AMD,ADVANCED MICRO DEVICES INC,181.61000,50515837,-0.001814,1618000
61241,2024-07-15,AMD,ADVANCED MICRO DEVICES INC,179.83000,42048296,-0.009801,1618000
61241,2024-07-16,AMD,ADVANCED MICRO DEVICES INC,177.55000,40508186,-0.012679,1618000
61241,2024-07-17,AMD,ADVANCED MICRO DEVICES INC,159.42999,76343718,-0.102056,1618000
61241,2024-07-18,AMD,ADVANCED MICRO DEVICES INC,155.77000,68953702,-0.022957,1618000
61241,2024-07-19,AMD,ADVANCED MICRO DEVICES INC,151.58000,47337389,-0.026899,1618000
61241,2024-07-22,AMD,ADVANCED MICRO DEVICES INC,155.87000,43705605,0.028302,1618000
61241,2024-07-23,AMD,ADVANCED MICRO DEVICES INC,154.00000,31784646,-0.011997,1618000
61241,2024-07-24,AMD,ADVANCED MICRO DEVICES INC,144.63000,48865590,-0.060844,1618482
61241,2024-07-25,AMD,ADVANCED MICRO DEVICES INC,138.32001,59987384,-0.043629,1618482
61241,2024-07-26,AMD,ADVANCED MICRO DEVICES INC,139.99001,48933115,0.012073,1618482
61241,2024-07-29,AMD,ADVANCED MICRO DEVICES INC,139.75000,47276677,-0.001714,1618482
61241,2024-07-30,AMD,ADVANCED MICRO DEVICES INC,138.44000,68311816,-0.009374,1618482
61241,2024-07-31,AMD,ADVANCED MICRO DEVICES INC,144.48000,113492537,0.043629,1618482
61241,2024-08-01,AMD,ADVANCED MICRO DEVICES INC,132.53999,94461516,-0.082641,1618482
61241,2024-08-02,AMD,ADVANCED MICRO DEVICES INC,132.50000,77729134,-0.000302,1618482
61241,2024-08-05,AMD,ADVANCED MICRO DEVICES INC,134.82001,75522882,0.017509,1618482
61241,2024-08-06,AMD,ADVANCED MICRO DEVICES INC,130.17999,64014665,-0.034416,1618482
61241,2024-08-07,AMD,ADVANCED MICRO DEVICES INC,128.67000,54453015,-0.011599,1618482
61241,2024-08-08,AMD,ADVANCED MICRO DEVICES INC,136.32001,48854781,0.059454,1618482
61241,2024-08-09,AMD,ADVANCED MICRO DEVICES INC,134.27000,40222190,-0.015038,1618482
61241,2024-08-12,AMD,ADVANCED MICRO DEVICES INC,136.77000,39571999,0.018619,1618482
61241,2024-08-13,AMD,ADVANCED MICRO DEVICES INC,141.13000,42122106,0.031878,1618482
61241,2024-08-14,AMD,ADVANCED MICRO DEVICES INC,140.75000,35293327,-0.002693,1618482
61241,2024-08-15,AMD,ADVANCED MICRO DEVICES INC,147.36000,43313159,0.046963,1618482
61241,2024-08-16,AMD,ADVANCED MICRO DEVICES INC,148.56000,31025057,0.008143,1618482
61241,2024-08-19,AMD,ADVANCED MICRO DEVICES INC,155.28000,60443628,0.045234,1618482
61241,2024-08-20,AMD,ADVANCED MICRO DEVICES INC,156.39999,76633213,0.007213,1618482
61241,2024-08-21,AMD,ADVANCED MICRO DEVICES INC,157.81000,42639314,0.009015,1618482
61241,2024-08-22,AMD,ADVANCED MICRO DEVICES INC,151.70000,45556517,-0.038717,1618482
61241,2024-08-23,AMD,ADVANCED MICRO DEVICES INC,154.98000,43430967,0.021622,1618482
61241,2024-08-26,AMD,ADVANCED MICRO DEVICES INC,149.99001,49612935,-0.032198,1618482
61241,2024-08-27,AMD,ADVANCED MICRO DEVICES INC,150.50000,34945448,0.003400,1618482
61241,2024-08-28,AMD,ADVANCED MICRO DEVICES INC,146.36000,33942126,-0.027508,1618482
61241,2024-08-29,AMD,ADVANCED MICRO DEVICES INC,145.49001,31342330,-0.005944,1618482
61241,2024-08-30,AMD,ADVANCED MICRO DEVICES INC,148.56000,31033146,0.021101,1618482
61241,2024-09-03,AMD,ADVANCED MICRO DEVICES INC,136.94000,41922921,-0.078218,1618482
61241,2024-09-04,AMD,ADVANCED MICRO DEVICES INC,140.87000,41877448,0.028699,1618482
61241,2024-09-05,AMD,ADVANCED MICRO DEVICES INC,139.44000,24921135,-0.010151,1618482
61241,2024-09-06,AMD,ADVANCED MICRO DEVICES INC,134.35001,39694245,-0.036503,1618482
61241,2024-09-09,AMD,ADVANCED MICRO DEVICES INC,138.14999,27043101,0.028284,1618482
61241,2024-09-10,AMD,ADVANCED MICRO DEVICES INC,142.84000,36898818,0.033949,1618482
