date,ess,llm_sentiment,tangibility,relevance,composite,mkt_rf,smb,hml,rf
2024-05-13,0.0011972857142857,-0.0014430329670329,0.0057268571428571,0.0057268571428571,0.0057268571428571,-0.0004,0.0024,-0.0026,0.0002
2024-05-14,,,-0.0099032999999999,-0.0093780909090909,-0.0099032999999999,0.005600000000000001,0.0052,0.0002,0.0002
2024-05-15,-0.0195134,,,,,0.0115,-0.0034999999999999996,-0.0022,0.0002
2024-05-17,0.00235605,0.0111789428571428,0.0040905,0.0019302999999999,0.0040905,0.0011,-0.0024,0.004,0.0002
2024-05-20,0.0141204,,0.007422125,0.00819675,0.0078875,0.0014000000000000002,0.0027,-0.0088,0.0002
2024-05-21,-1.3800000000000444e-05,,0.0094010666666666,0.0094944666666666,0.0094944666666666,0.0016,-0.0045000000000000005,0.0018,0.0002
2024-05-22,-0.0064813333333333,,-0.0043778333333333,,-0.0043778333333333,-0.0034999999999999996,-0.0028000000000000004,-0.0037,0.0002
2024-05-23,0.0103571666666666,0.0051922888888888,0.0021788,0.0033501999999999,0.0043965999999999,-0.0084,-0.0059,-0.0064,0.0002
2024-05-24,0.0187232,0.0212506,-0.016044,-0.0091835,-0.020436,0.0070999999999999995,0.0004,0.0015,0.0002
2024-05-28,-0.0050024242424242,,,,,-0.0004,0.0029,-0.0088,0.0002
2024-05-30,-0.0417248,-0.0296611714285714,-0.0003281,0.0030048999999999,0.0017537999999999,-0.0053,0.0103,0.01,0.0002
2024-05-31,-0.0123246666666666,0.0119766363636363,0.0065556666666666,0.0136749,0.0068004999999999,0.0068000000000000005,-0.0036,0.0078000000000000005,0.0002
2024-06-03,-0.0061714285714285,-0.0052432857142857,-0.0006794642857142,0.0018775714285714,0.0028281428571428,0.0005,-0.002,-0.005699999999999999,0.0002
2024-06-04,0.0068562,0.0035654857142857,0.0027195,-0.0130454,-0.0103454,-0.0006,-0.009899999999999999,-0.0076,0.0002
2024-06-05,-0.008988988095238,,-0.0111781904761904,-0.0086486571428571,-0.0111781904761904,0.0123,0.0048,-0.0060999999999999995,0.0002
2024-06-06,-0.0052603,-0.0072053333333333,-0.0018253999999999,-0.0018253999999999,-0.0023933999999999,-0.0006,-0.0045000000000000005,-0.0007000000000000001,0.0002
